time_hr,instant_growth_rate_hr,source,notes,type
-1.992125984251970,0.44303797468354400,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-1.8188976377952700,0.4455696202531650,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-1.677165354330710,0.4531645569620250,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-1.5218722659667500,0.46251758087201100,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-1.3687664041994700,0.47658227848101300,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-1.2265966754155700,0.45900140646976100,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-1.0625546806649200,0.4519690576652600,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.9094488188976380,0.4607594936708860,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.7563429571303580,0.45372714486638500,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.5813648293963250,0.46779184247538700,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.417322834645669,0.44493670886076000,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.24234470691163500,0.45548523206751100,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.07830271216097900,0.44669479606188500,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
0.10761154855643100,0.48185654008438800,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
0.2825896762904640,0.6154711673699020,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
0.44663167104112000,0.6453586497890300,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
0.610,0.7016174402250350,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
0.7856517935258090,0.7156821378340370,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
0.9606299212598440,0.7350210970464140,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
1.135608048993880,0.7947960618846700,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
1.2996500437445300,0.7649085794655420,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
1.4746281714785700,0.8352320675105490,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
1.6496062992126000,0.8158931082981720,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
1.8245844269466300,0.829957805907173,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
1.999562554680670,0.8405063291139240,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
2.1854768153980800,0.8176511954992970,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
2.3385826771653500,0.8246835443037980,"Erickson et al., 2017",Digitized from Fig. 1B,upshift
-0.979826936348676,0.9347475712693110,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
-0.39709083187344200,0.9270839305621920,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
-0.144874449222276,0.6097467749641670,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
0.09146891755587290,0.15717152412804600,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
0.3252110208631940,0.18410574932314100,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
0.5848595848595840,0.21102723363592900,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
0.8576206402293350,0.24531931836279700,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
1.0897170462387800,0.19602484472049700,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
1.3497903063120500,0.2426182513139040,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
1.6098104793757000,0.28675266762223300,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
1.8312894834634000,0.34566013696448500,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
2.091256569517440,0.3873355629877370,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
2.35042735042735,0.3921261347348310,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
2.5949461166852500,0.31823538780060500,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
2.8550724637681200,0.3672877846790890,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
3.1014492753623200,0.37946169772256800,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
3.3462334766682600,0.31786590221372800,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
3.5940967245315100,0.3988915432393700,"Erickson et al., 2017",Digitized from Fig. 1G,downshift
3.90407177363699,0.3569358178053830,"Erickson et al., 2017",Digitized from Fig. 1G,downshift