time_from_meal,concentration,source,notes
0.15564202334630400,0.04081632653061360,"Stephen et al., 1983",Digitized from Fig. 4
0.2801556420233460,0.04081632653061360,"Stephen et al., 1983",Digitized from Fig. 4
0.40466926070038900,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
0.5291828793774320,0.204081632653061,"Stephen et al., 1983",Digitized from Fig. 4
0.6225680933852150,0.25850340136054600,"Stephen et al., 1983",Digitized from Fig. 4
0.7470817120622580,0.36734693877551000,"Stephen et al., 1983",Digitized from Fig. 4
0.7782101167315170,0.5306122448979590,"Stephen et al., 1983",Digitized from Fig. 4
0.8404669260700400,0.6938775510204090,"Stephen et al., 1983",Digitized from Fig. 4
0.8715953307393000,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
0.9027237354085600,1.0748299319727900,"Stephen et al., 1983",Digitized from Fig. 4
0.9649805447470820,1.2380952380952400,"Stephen et al., 1983",Digitized from Fig. 4
1.027237354085600,1.3469387755102100,"Stephen et al., 1983",Digitized from Fig. 4
1.1206225680933900,1.2380952380952400,"Stephen et al., 1983",Digitized from Fig. 4
1.245136186770430,1.1836734693877500,"Stephen et al., 1983",Digitized from Fig. 4
1.3385214007782100,1.129251700680270,"Stephen et al., 1983",Digitized from Fig. 4
1.4319066147859900,1.129251700680270,"Stephen et al., 1983",Digitized from Fig. 4
1.5252918287937700,1.0748299319727900,"Stephen et al., 1983",Digitized from Fig. 4
1.6498054474708200,1.0748299319727900,"Stephen et al., 1983",Digitized from Fig. 4
1.7743190661478600,1.0748299319727900,"Stephen et al., 1983",Digitized from Fig. 4
1.8677042801556400,1.129251700680270,"Stephen et al., 1983",Digitized from Fig. 4
1.9610894941634200,1.129251700680270,"Stephen et al., 1983",Digitized from Fig. 4
2.0233463035019500,1.2380952380952400,"Stephen et al., 1983",Digitized from Fig. 4
2.0856031128404700,1.4557823129251700,"Stephen et al., 1983",Digitized from Fig. 4
2.147859922178990,1.6190476190476200,"Stephen et al., 1983",Digitized from Fig. 4
2.1789883268482500,1.7823129251700700,"Stephen et al., 1983",Digitized from Fig. 4
2.21011673151751,1.945578231292520,"Stephen et al., 1983",Digitized from Fig. 4
2.272373540856030,1.945578231292520,"Stephen et al., 1983",Digitized from Fig. 4
2.3968871595330700,1.8367346938775500,"Stephen et al., 1983",Digitized from Fig. 4
2.4591439688716000,1.7278911564625800,"Stephen et al., 1983",Digitized from Fig. 4
2.5525291828793800,1.6190476190476200,"Stephen et al., 1983",Digitized from Fig. 4
2.645914396887160,1.5102040816326500,"Stephen et al., 1983",Digitized from Fig. 4
2.7392996108949400,1.4013605442176900,"Stephen et al., 1983",Digitized from Fig. 4
2.8326848249027200,1.292517006802720,"Stephen et al., 1983",Digitized from Fig. 4
2.926070038910510,1.2380952380952400,"Stephen et al., 1983",Digitized from Fig. 4
3.019455252918290,1.2380952380952400,"Stephen et al., 1983",Digitized from Fig. 4
3.1439688715953300,1.3469387755102100,"Stephen et al., 1983",Digitized from Fig. 4
3.237354085603110,1.4013605442176900,"Stephen et al., 1983",Digitized from Fig. 4
3.3307392996108900,1.4557823129251700,"Stephen et al., 1983",Digitized from Fig. 4
3.4241245136186800,1.4557823129251700,"Stephen et al., 1983",Digitized from Fig. 4
3.517509727626460,1.4557823129251700,"Stephen et al., 1983",Digitized from Fig. 4
3.6108949416342400,1.4557823129251700,"Stephen et al., 1983",Digitized from Fig. 4
3.7042801556420200,1.4557823129251700,"Stephen et al., 1983",Digitized from Fig. 4
3.7976653696498100,1.3469387755102100,"Stephen et al., 1983",Digitized from Fig. 4
3.8599221789883300,1.1836734693877500,"Stephen et al., 1983",Digitized from Fig. 4
3.9221789883268500,1.0748299319727900,"Stephen et al., 1983",Digitized from Fig. 4
3.9844357976653700,0.965986394557822,"Stephen et al., 1983",Digitized from Fig. 4
4.046692607003890,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
4.1400778210116700,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
4.233463035019460,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
4.326848249027240,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
4.451361867704280,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
4.544747081712060,0.9115646258503410,"Stephen et al., 1983",Digitized from Fig. 4
4.607003891050580,0.8027210884353750,"Stephen et al., 1983",Digitized from Fig. 4
4.700389105058360,0.6938775510204090,"Stephen et al., 1983",Digitized from Fig. 4
4.793774319066150,0.6394557823129250,"Stephen et al., 1983",Digitized from Fig. 4
4.8871595330739300,0.7482993197278920,"Stephen et al., 1983",Digitized from Fig. 4
5.011673151750970,0.8027210884353750,"Stephen et al., 1983",Digitized from Fig. 4
5.105058365758760,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
5.229571984435800,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
5.3229571984435800,0.8571428571428580,"Stephen et al., 1983",Digitized from Fig. 4
5.416342412451360,0.8027210884353750,"Stephen et al., 1983",Digitized from Fig. 4
5.509727626459140,0.7482993197278920,"Stephen et al., 1983",Digitized from Fig. 4
5.603112840466930,0.6394557823129250,"Stephen et al., 1983",Digitized from Fig. 4
5.727626459143970,0.5306122448979590,"Stephen et al., 1983",Digitized from Fig. 4
5.852140077821010,0.4761904761904760,"Stephen et al., 1983",Digitized from Fig. 4
5.976653696498050,0.36734693877551000,"Stephen et al., 1983",Digitized from Fig. 4
6.101167315175100,0.3129251700680270,"Stephen et al., 1983",Digitized from Fig. 4
6.194552529182880,0.204081632653061,"Stephen et al., 1983",Digitized from Fig. 4
6.319066147859920,0.14965986394557800,"Stephen et al., 1983",Digitized from Fig. 4
6.443579766536960,0.14965986394557800,"Stephen et al., 1983",Digitized from Fig. 4
6.568093385214010,0.14965986394557800,"Stephen et al., 1983",Digitized from Fig. 4
6.692607003891050,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
6.817120622568090,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
6.910505836575880,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.035019455252920,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.159533073929960,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.284046692607000,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4
7.3774319066147900,0.0952380952380949,"Stephen et al., 1983",Digitized from Fig. 4