medium,phi_X,growth_rate_hr,source,notes
RDM + Glucose,0.0112055083569327,1.7463768115942000,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.027341884613249,1.785024154589370,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.0100061080570826,1.7028985507246400,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.043128435782109,1.5193236714975800,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.121972347159753,1.1135265700483100,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.140329835082459,1.0845410628019300,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.172397134765950,0.9830917874396140,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.18026542284413,0.8285024154589370,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.205536120828475,0.8140096618357490,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.249108778943861,0.7222222222222220,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.262818590704648,0.6497584541062800,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0.192675884280082,0.6256038647343000,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.0102504303403854,0.9154589371980680,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.0308401354878117,0.8285024154589370,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.046920983952468,0.8188405797101450,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.187906046976512,0.47584541062801900,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.198073185629408,0.3212560386473430,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.266960963962463,0.25362318840579700,"Scott et al., 2010",Digitized from Figure 4B of main text
cAA + Glucose,0.32092287189739,0.20048309178744000,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.0110722416569493,0.630434782608696,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.011005608306958,0.5724637681159420,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.042056749403076,0.5869565217391310,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.074174024099062,0.5289855072463770,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.101604753178966,0.3937198067632850,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.152023988005997,0.2584541062801940,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.1625576100838,0.42270531400966200,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.229052140596368,0.2729468599033820,"Scott et al., 2010",Digitized from Figure 4B of main text
M63 + Glucose,0.242817480148815,0.24879227053140100,"Scott et al., 2010",Digitized from Figure 4B of main text
RDM + Glucose,0,1.58,"Scott et al., 2010",Transcribed from Table S3
M63 + Glucose,0,0.57,"Scott et al., 2010",Transcribed from Table S3
cAA + Glucose,0,1,"Scott et al., 2010",Transcribed from Table S3