time_hr,sector,fraction,type,source,notes
-0.25,c_up,0.2458,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0,c_up,0.2447,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.333,c_up,0.2641,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1,c_up,0.3100,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2,c_up,0.3669,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
3,c_up,0.3830,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
3.5,c_up,0.3944,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
4,c_up,0.3978,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
-0.25,c_down,0.6002,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0,c_down,0.6043,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.333,c_down,0.5809,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1,c_down,0.5146,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2,c_down,0.4571,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
3,c_down,0.4492,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
3.5,c_down,0.4358,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
4,c_down,0.4371,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
-0.25,c_flat,0.1504,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0,c_flat,0.1472,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.333,c_flat,0.1490,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1,c_flat,0.1671,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2,c_flat,0.1658,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
3,c_flat,0.1607,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
3.5,c_flat,0.1584,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
4,c_flat,0.1630,downshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
-0.25,c_up,0.4112,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0,c_up,0.4028,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.25,c_up,0.3841,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.5,c_up,0.3780,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1,c_up,0.3435,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1.5,c_up,0.3168,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2,c_up,0.3041,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2.333,c_up,0.2957,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
-0.25,c_down,0.4267,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0,c_down,0.1342,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.25,c_down,0.4529,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.5,c_down,0.4623,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1,c_down,0.4916,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1.5,c_down,0.5223,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2,c_down,0.5280,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2.333,c_down,0.5339,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
-0.25,c_flat,0.1506,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0,c_flat,0.1506,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.25,c_flat,0.1544,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
0.5,c_flat,0.1522,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1,c_flat,0.1573,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
1.5,c_flat,0.1569,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2,c_flat,0.1604,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)
2.333,c_flat,0.1621,upshift,"Erickson et al., 2017",Aggregated from reported absolute mass spec measurements (Table S2)