time,mass_fraction,type,source,notes
-0.25,0.1260,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
0,0.1276,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
0.333,0.1203,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
1,0.0973,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
2,0.07742,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
3,0.08648,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
3.5,0.07774,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
4,0.08561,downshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
-0.25,0.08986,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
0,0.09397,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
0.25,0.09946,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
0.5,0.1064,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
1,0.1056,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
1.5,0.1227,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
2,0.1136,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"
2.333,0.1112,upshift,"Erickson et al., 2017","Aggregated from ribosomal components in mass spec measurements, Table S2"