time_from_shift_hr,instant_growth_rate_hr,source,notes
-3.904074490498230,0.7605975842339480,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.755412557640210,0.7612511125238400,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.606782130966950,0.7632116973935160,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.4581123215627300,0.7635384615384620,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.3094346356123200,0.7635384615384620,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.160756949661910,0.7635384615384620,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.012236794635370,0.7700737444373810,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.863732392701210,0.7772625556261920,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.7152122376746700,0.7837978385251110,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.566503045539480,0.7824907819453270,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.417715087942360,0.7779160839160840,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.268966513076210,0.7749752066115700,"Panlilio et al., 2021",Data digitized from Fig. 2A
-2.120280950579600,0.7746484424666240,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.971682030091120,0.7779160839160840,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.8229019490401900,0.7736681500317860,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.6741533741740400,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.5254756882236200,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.3767980022732100,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.2281203163228000,0.7707272727272730,"Panlilio et al., 2021",Data digitized from Fig. 2A
-1.0795765316576700,0.7762822631913540,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.9309933642615840,0.7802034329307060,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.7822841721263960,0.7788963763509220,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.6335749799912090,0.7775893197711380,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.4848106520326650,0.7739949141767320,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.3361802253594140,0.7759554990464080,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.18759705796332300,0.7798766687857600,"Panlilio et al., 2021",Data digitized from Fig. 2A
-0.03917929803729960,0.7906598855689770,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.10863984437801100,0.8262771773680860,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.2564038509699660,0.8641818181818180,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.4045459317792140,0.8864017800381440,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.5531606053600800,0.8890158931977120,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.702074587696301,0.8792129688493330,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.8506104958152290,0.8850947234583600,"Panlilio et al., 2021",Data digitized from Fig. 2A
0.9984453913229270,0.9200584869675780,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.1459022126133300,0.9707069294342020,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.2931778733412800,1.0288709472345800,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.440721336639820,1.0759249841068000,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.588493219777970,1.1135028607755900,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.7363832511090200,1.1461792752701800,"Panlilio et al., 2021",Data digitized from Fig. 2A
1.8843284182634300,1.1765683407501600,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.0323444743335800,1.20401652892562,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.1805180613276000,1.2249294342021600,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.329022463261760,1.232118245390970,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.4775741244730700,1.2373464717101100,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.6262360573311000,1.2380000000000000,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.7749137432815100,1.2380000000000000,"Panlilio et al., 2021",Data digitized from Fig. 2A
2.9235993057781200,1.2376732358550500,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.0725054115681500,1.2281970756516200,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.22129336916527,1.2236223776223800,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.369978931661880,1.223295613477430,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.518798395443770,1.2174138588684000,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.6676099826794800,1.2118588684043200,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.8164845822847300,1.203689764780670,"Panlilio et al., 2021",Data digitized from Fig. 2A
3.9652567867894700,1.1997685950413200,"Panlilio et al., 2021",Data digitized from Fig. 2A
4.114052620932790,1.194867132867130,"Panlilio et al., 2021",Data digitized from Fig. 2A
4.262848455076100,1.1899656706929400,"Panlilio et al., 2021",Data digitized from Fig. 2A
4.4117388077737400,1.1811430387794000,"Panlilio et al., 2021",Data digitized from Fig. 2A
4.560432246816540,1.1804895104895100,"Panlilio et al., 2021",Data digitized from Fig. 2A
4.709015414212640,1.184410680228860,"Panlilio et al., 2021",Data digitized from Fig. 2A
4.857582828516340,1.1889853782581100,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.006292020651530,1.1876783216783200,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.154993336240520,1.186698029243480,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.303820676568610,1.1804895104895100,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.452466856334250,1.1817965670692900,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.60098701136079,1.1883318499682100,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.749507166387330,1.194867132867130,"Panlilio et al., 2021",Data digitized from Fig. 2A
5.898247864707290,1.1922530197075700,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.047035822304420,1.1876783216783200,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.195831656447740,1.1827768595041300,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.344564478221500,1.1804895104895100,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.493273670356690,1.1791824539097300,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.642085257592390,1.1736274634456500,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.790770820089000,1.1733006993007000,"Panlilio et al., 2021",Data digitized from Fig. 2A
6.939448506039420,1.1733006993007000,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.088275846367510,1.167092180546730,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.237142569426570,1.159249841068020,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.385828131923170,1.158923076923080,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.534364040042100,1.1648048315321000,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.6830102198077400,1.1661118881118900,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.831687905758150,1.1661118881118900,"Panlilio et al., 2021",Data digitized from Fig. 2A
7.9330590552698000,1.1661118881118900,"Panlilio et al., 2021",Data digitized from Fig. 2A
-3.875206968540780,0.27704490258879000,"Panlilio et al., 2021",Data digitized from Fig. S11A
-3.6716939025268200,0.28634256409962200,"Panlilio et al., 2021",Data digitized from Fig. S11A
-3.4681808365128500,0.2968429180191400,"Panlilio et al., 2021",Data digitized from Fig. S11A
-3.2646677704988800,0.3017307073647880,"Panlilio et al., 2021",Data digitized from Fig. S11A
-3.0611547044849200,0.3082220865886840,"Panlilio et al., 2021",Data digitized from Fig. S11A
-2.8576416384709500,0.30549282401265000,"Panlilio et al., 2021",Data digitized from Fig. S11A
-2.6541285724569900,0.30236266396705300,"Panlilio et al., 2021",Data digitized from Fig. S11A
-2.450615506443020,0.3104576330691990,"Panlilio et al., 2021",Data digitized from Fig. S11A
-2.247102440429060,0.3133409350670350,"Panlilio et al., 2021",Data digitized from Fig. S11A
-2.043589374415090,0.3198323142909320,"Panlilio et al., 2021",Data digitized from Fig. S11A
-1.8400763084011200,0.3167021542453350,"Panlilio et al., 2021",Data digitized from Fig. S11A
-1.6365632423871600,0.32559891828660500,"Panlilio et al., 2021",Data digitized from Fig. S11A
-1.4330501763731900,0.32768042534531700,"Panlilio et al., 2021",Data digitized from Fig. S11A
-1.2295371103592200,0.3237484703605960,"Panlilio et al., 2021",Data digitized from Fig. S11A
-1.0260240443452600,0.32943805464536800,"Panlilio et al., 2021",Data digitized from Fig. S11A
-0.8225109783312930,0.3351276389301400,"Panlilio et al., 2021",Data digitized from Fig. S11A
-0.6189979123173280,0.34322260803228600,"Panlilio et al., 2021",Data digitized from Fig. S11A
-0.4154848463033610,0.35171847460399300,"Panlilio et al., 2021",Data digitized from Fig. S11A
-0.2119717802893960,0.34658382721058500,"Panlilio et al., 2021",Data digitized from Fig. S11A
-0.008458714275429100,0.3840946481418580,"Panlilio et al., 2021",Data digitized from Fig. S11A
0.1950543517385360,0.4545792859446220,"Panlilio et al., 2021",Data digitized from Fig. S11A
0.3985674177525030,0.5135882336811690,"Panlilio et al., 2021",Data digitized from Fig. S11A
0.6020804837664680,0.5441334610787980,"Panlilio et al., 2021",Data digitized from Fig. S11A
0.8055935497804350,0.5806921505198600,"Panlilio et al., 2021",Data digitized from Fig. S11A
1.0091066157944000,0.6008140437088710,"Panlilio et al., 2021",Data digitized from Fig. S11A
1.2126196818083700,0.6069045254632060,"Panlilio et al., 2021",Data digitized from Fig. S11A
1.4161327478223300,0.5969591084350510,"Panlilio et al., 2021",Data digitized from Fig. S11A
1.6196458138363000,0.5858109989982110,"Panlilio et al., 2021",Data digitized from Fig. S11A
1.8231588798502600,0.5790727617265540,"Panlilio et al., 2021",Data digitized from Fig. S11A
2.02667194586423,0.5839605510722020,"Panlilio et al., 2021",Data digitized from Fig. S11A
2.230185011878200,0.5912537252352230,"Panlilio et al., 2021",Data digitized from Fig. S11A
2.4336980778921600,0.5917316424156860,"Panlilio et al., 2021",Data digitized from Fig. S11A
2.6372111439061300,0.5845925076744680,"Panlilio et al., 2021",Data digitized from Fig. S11A
2.8407242099200900,0.5802596552201840,"Panlilio et al., 2021",Data digitized from Fig. S11A
3.0442372759340600,0.5610935963920990,"Panlilio et al., 2021",Data digitized from Fig. S11A
3.2477503419480300,0.5351122805814570,"Panlilio et al., 2021",Data digitized from Fig. S11A
3.4512634079619900,0.5183516065707450,"Panlilio et al., 2021",Data digitized from Fig. S11A
3.654776473975960,0.5216358060381440,"Panlilio et al., 2021",Data digitized from Fig. S11A
3.858289539989920,0.5417576992271550,"Panlilio et al., 2021",Data digitized from Fig. S11A
4.061802606003890,0.5711002342160980,"Panlilio et al., 2021",Data digitized from Fig. S11A
4.265315672017850,0.5884158451181740,"Panlilio et al., 2021",Data digitized from Fig. S11A
4.468828738031820,0.5756641458030840,"Panlilio et al., 2021",Data digitized from Fig. S11A
4.672341804045790,0.5673223186531790,"Panlilio et al., 2021",Data digitized from Fig. S11A
4.875854870059750,0.5633903636684580,"Panlilio et al., 2021",Data digitized from Fig. S11A
5.079367936073720,0.5754943074662250,"Panlilio et al., 2021",Data digitized from Fig. S11A
5.282881002087680,0.5799811993423110,"Panlilio et al., 2021",Data digitized from Fig. S11A
5.486394068101650,0.5732429620706550,"Panlilio et al., 2021",Data digitized from Fig. S11A
5.689907134115620,0.5729190843119940,"Panlilio et al., 2021",Data digitized from Fig. S11A
5.893420200129580,0.5946445673792540,"Panlilio et al., 2021",Data digitized from Fig. S11A
6.096933266143550,0.5714695338555470,"Panlilio et al., 2021",Data digitized from Fig. S11A
6.300446332157510,0.5354657813058490,"Panlilio et al., 2021",Data digitized from Fig. S11A
6.50395939817148,0.5475697251036160,"Panlilio et al., 2021",Data digitized from Fig. S11A
6.707472464185450,0.5961553386315450,"Panlilio et al., 2021",Data digitized from Fig. S11A
6.910985530199410,0.613070052064059,"Panlilio et al., 2021",Data digitized from Fig. S11A
7.114498596213380,0.591899505888163,"Panlilio et al., 2021",Data digitized from Fig. S11A
7.318011662227340,0.5655172926079580,"Panlilio et al., 2021",Data digitized from Fig. S11A
7.52152472824131,0.57481495411879,"Panlilio et al., 2021",Data digitized from Fig. S11A
7.725037794255280,0.5961395397164880,"Panlilio et al., 2021",Data digitized from Fig. S11A
7.891548484630340,0.6017995010355290,"Panlilio et al., 2021",Data digitized from Fig. S11A