time_from_meal,concentration,nutrient,source,notes
-0.5904059040590410,0.03623378169265480,glucose,"Stephen et al., 1983",Digitized from Fig. 4
0.029520295202952500,0.03223425782644900,glucose,"Stephen et al., 1983",Digitized from Fig. 4
0.3837638376383770,0.029948815617187200,glucose,"Stephen et al., 1983",Digitized from Fig. 4
0.738007380073801,0.33734079276276500,glucose,"Stephen et al., 1983",Digitized from Fig. 4
1.0036900369003700,1.367884775621950,glucose,"Stephen et al., 1983",Digitized from Fig. 4
1.3874538745387500,1.158957266992020,glucose,"Stephen et al., 1983",Digitized from Fig. 4
1.9778597785977900,1.155148196643260,glucose,"Stephen et al., 1983",Digitized from Fig. 4
2.273062730627310,1.9274372098559700,glucose,"Stephen et al., 1983",Digitized from Fig. 4
3.0110701107011100,1.2000952267587200,glucose,"Stephen et al., 1983",Digitized from Fig. 4
3.2472324723247200,1.4050232115224400,glucose,"Stephen et al., 1983",Digitized from Fig. 4
3.749077490774910,1.4533984049517900,glucose,"Stephen et al., 1983",Digitized from Fig. 4
4.014760147601480,0.8323294845851680,glucose,"Stephen et al., 1983",Digitized from Fig. 4
4.5166051660516600,0.8807046780145210,glucose,"Stephen et al., 1983",Digitized from Fig. 4
4.752767527675280,0.6211165337459810,glucose,"Stephen et al., 1983",Digitized from Fig. 4
5.313653136531360,0.8239495298178790,glucose,"Stephen et al., 1983",Digitized from Fig. 4
5.992619926199260,0.30344006665873000,glucose,"Stephen et al., 1983",Digitized from Fig. 4
6.346863468634690,0.14631591477205000,glucose,"Stephen et al., 1983",Digitized from Fig. 4
6.819188191881920,-0.0115700511843837,glucose,"Stephen et al., 1983",Digitized from Fig. 4
7.439114391143910,0.03604332817521620,glucose,"Stephen et al., 1983",Digitized from Fig. 4
-0.5904059040590410,0.03623378169265480,starch,"Stephen et al., 1983",Digitized from Fig. 4
0.32472324723247200,-0.021283180573741200,starch,"Stephen et al., 1983",Digitized from Fig. 4
1.0332103321033200,1.7289846446851600,starch,"Stephen et al., 1983",Digitized from Fig. 4
1.2398523985239800,2.088941792643730,starch,"Stephen et al., 1983",Digitized from Fig. 4
1.5350553505535100,2.3451017735983800,starch,"Stephen et al., 1983",Digitized from Fig. 4
1.7416974169741700,2.601833115105340,starch,"Stephen et al., 1983",Digitized from Fig. 4
2.007380073800740,2.703344839900010,starch,"Stephen et al., 1983",Digitized from Fig. 4
2.7453874538745400,5.382454469705990,starch,"Stephen et al., 1983",Digitized from Fig. 4
3.2472324723247200,4.450184501845020,starch,"Stephen et al., 1983",Digitized from Fig. 4
3.5129151291512900,4.8097607427687200,starch,"Stephen et al., 1983",Digitized from Fig. 4
3.749077490774910,4.911462921080820,starch,"Stephen et al., 1983",Digitized from Fig. 4
3.9852398523985200,3.5680038090703500,starch,"Stephen et al., 1983",Digitized from Fig. 4
4.22140221402214,4.289060826092130,starch,"Stephen et al., 1983",Digitized from Fig. 4
4.487084870848710,4.080895131531960,starch,"Stephen et al., 1983",Digitized from Fig. 4
4.723247232472330,3.201952148553740,starch,"Stephen et al., 1983",Digitized from Fig. 4
4.988929889298890,2.684109034638730,starch,"Stephen et al., 1983",Digitized from Fig. 4
5.254612546125460,2.5275562433043700,starch,"Stephen et al., 1983",Digitized from Fig. 4
5.490774907749080,1.8034519700035700,starch,"Stephen et al., 1983",Digitized from Fig. 4
5.756457564575650,1.6985120818950100,starch,"Stephen et al., 1983",Digitized from Fig. 4
5.992619926199260,0.9744078085942150,starch,"Stephen et al., 1983",Digitized from Fig. 4
6.730627306273060,0.14384001904535100,starch,"Stephen et al., 1983",Digitized from Fig. 4
7.025830258302580,0.19354838709677400,starch,"Stephen et al., 1983",Digitized from Fig. 4