growth_rate_hr,tRNA_per_ribosome,source
0.27650133432172700,12.519206280123200,"Dong et al., 1996"
0.4886119469520920,9.442332801392720,"Dong et al., 1996"
0.7423871442062800,7.514128665151440,"Dong et al., 1996"
1.136306853376960,7.231877750374780,"Dong et al., 1996"
1.6968849010429300,6.529554943017880,"Dong et al., 1996"
0.44,18,"Skjold et al., 1973"
0.91,16,"Skjold et al., 1973"
1.5,12,"Skjold et al., 1973"
2.7,9,"Skjold et al., 1973"
1.7,8.25524319500223,"Forchhammer & Lindahl, 1971"
1.5,9.63855421686747,"Forchhammer & Lindahl, 1971"
1.0,8.10137100124636,"Forchhammer & Lindahl, 1971"
0.60,14.4578313253012,"Forchhammer & Lindahl, 1971"
0.38,15.291936978684,"Forchhammer & Lindahl, 1971"
0.415888308335967,9.25,"Bremer & Dennis, 2008"
0.693147180559945,9.26666666666667,"Bremer & Dennis, 2008"
1.03972077083992,9.26923076923077,"Bremer & Dennis, 2008"
1.38629436111989,9.27272727272727,"Bremer & Dennis, 2008"
1.73286795139986,9.36065573770492,"Bremer & Dennis, 2008"
2.07944154167984,9.31506849315068,"Bremer & Dennis, 2008"